"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","2404 Columbia Highway","Aiken County Public Schools","J. D. Lever Elementary","http://www.acpsd.net/JDLES","Aiken","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED          ","mtruitt@acpsd.net","Michael","field no longer used","Truitt","803-641-2760","Mr.","Lower Savannah",022,"",8036412402,"J D Lever Elem                                    ",8036412760,2020,0201022,"SC",29801,
"","505 North Main Street","The School District of Greenville County","J. Harley Bonds Career Center","http://www.greenville.k12.sc.us/bonds","Greer","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED         ","mparris@greenville.k12.sc.us","Michael J.","field no longer used","Parris","864-355-8080","Mr.","Greenville",996,"",8643558264,"J. Harley Bonds Career Ctr                         ",8643558080,2020,2301996,"SC",29650,
"","1649 Highway 45","Berkeley County School District","J. K. Gourdin Elementary","http://www.bcsdschools.net/jke","Pineville","Berkeley                                          ",0801,"Berkeley 01                                       ","PK-5 SPED          ","bradleylorene@bcsdschools.net","Lorene","field no longer used","Bradley","843 567-3637","Ms.","Trident",020,"",8435673069,"J K Gourdin Elem                                  ",8435673637,2020,0801020,"SC",29468,
"","160 Fairforest Way","The School District of Greenville County","J. L. Mann High Academy","http://www.greenville.k12.sc.us/jlmann/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED      ","cmayfield@greenville.k12.sc.us","Charles S.","field no longer used","Mayfield","864-355-6300","Mr.","Greenville",013,"",8643556329,"J L Mann High Academy                             ",8643556300,2020,2301013,"SC",29607,
"","6001 Weston Avenue","Richland County School District One","J. P. Thomas Elementary","https://www.richlandone.org/Domain/34","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","selina.latimore@richlandone.org","Selina","field no longer used","Latimore","803-735-3430","Ms.","Midlands",062,"",8037353369,"J P Thomas Elem                                   ",8037353430,2020,4001062,"SC",29203,
"P.O. Box 1239","319 Carlisle Street","Florence County School District 3","J. Paul Truluck Creative Arts and Science Magnet","http://www.jptms.florence3.k12.sc.us/","Lake City","Florence                                          ",2103,"Florence 03                                       ","6-10 SPED","mmcdougal@fsd3.org","Mac","","McDougal","843-374-8685","Mr.","",054,"",8433747341,"J. Paul Truluck Creative Arts and Science Magnet",8433748685,2020,2103054,"SC",29560,
"","7150 Trenholm Road Extension","Richland School District Two","Jackson Creek Elementary","https://www.richland2.org/jce","Columbia","Richland                                          ",4002,"Richland 02                                       ","PK-5 SPED      ","smosso@richland2.org","Sabina","","Mosso-Taylor","803-790-3800","Dr.","",103,"",8037903801,"Jackson Creek Elementary",8037903800,2020,4002103,"SC",29223,
"","1730 Jefferson Davis Highway","Kershaw County School District","Jackson School","https://www.kcsdschools.net/jes","Camden","Kershaw                                           ",2801,"Kershaw 01                                        ","PK-5 SPED           ","estelle.benson@kcsdschools.net","Estelle","field no longer used","Benson","803-425-8965","Ms.","Santee Lynches",013,"",8034257428,"Jackson School",8034258965,2020,2801013,"SC",29020,
"","18371 Atomic Road","Aiken County Public Schools","Jackson STEM Magnet Middle","http://www.acpsd.net/JMS","Jackson","Aiken                                             ",0201,"Aiken 01                                          ","6-8 SPED           ","psmith2@acpsd.net","Perry","field no longer used","Smith","803-279-3525","Mr.","Lower Savannah",033,"",8034712202,"Jackson STEM Magnet Middle                                    ",8032793525,2020,0201033,"SC",29831,
"","885 Von Kolnitz Road","Charleston County School District","James B. Edwards Elementary","http://jbedwards.ccsdschools.com/","Mt. Pleasant","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","robin_fountain@charleston.k12.sc.us","Robin","field no longer used","Fountain","843-849-2805","Ms.","Trident",093,"",8438492892,"James B Edwards Elem                              ",8438492805,2020,1001093,"SC",29464,
"P.O. Box 277","100 Rowe Street, Duncan","Spartanburg Five","James Byrnes Freshman Academy","http://www.spart5.net/jbfa/site/default.asp","Duncan","Spartanburg                                       ",4205,"Spartanburg 05                                    ","9 SPED             ","neel.edwards@spart5.net","Neel","field no longer used","Edwards","864-949-2320","Mr.","Upstate",093,"",8649492328,"James F Byrnes Freshman Acad                      ",8649492320,2020,4205093,"SC",29334,
"","150 East Main Street","Spartanburg Five","James F. Byrnes High School","http://www.spart5.net/bhs/site/default.asp","Duncan","Spartanburg                                       ",4205,"Spartanburg 05                                    ","9-12 SPED      ","todd.hardy@spart5.net","Todd","field no longer used","Hardy","864-949-2355","Mr.","Upstate",043,"",8649492362,"James F Byrnes High                               ",8649492355,2020,4205043,"SC",29334,
"","1084 Springfield Road","Spartanburg 2","James H. Hendrix Elementary    ","http://hes.spart2.org/","Boiling Springs","Spartanburg                                       ",4202,"Spartanburg 02                                    ","PK-4 SPED      ","tina.humphries@spart2.org","Tina","field no longer used","Humphries","864-216-4000","Ms.","Upstate",020,"",8642164041,"James H. Hendrix Elementary           ","864216-4000",2020,4202020,"SC",29316,
"","901 John McKissick Way","Dorchester 2","James H. Spann Elementary","http://spann.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","ssanford@dorchester2.k12.sc.us","Shane","field no longer used","Sanford","843-873-3050","Mr.","Trident",010,"",8438213987,"James H. Spann Elem                                        ",8438733050,2020,1802010,"SC",29483,
"","1000 Fort Johnson Road","Charleston County School District","James Island Charter High School","http://jichs.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","9-12 SPED      ","timothy_thorn@charleston.k12.sc.us","Timothy ","field no longer used","Thorn","843-762-2754","Mr.","Trident",616,"",8437625228,"James Island Charter High                         ",8437622754,2020,1001616,"SC",29412,
"","1872 Grimball Road","Charleston County School District","James Island Elementary","http://jies.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","jonetta_gregory@charleston.k12.sc.us","Jonetta","field no longer used","Gregory","843-762-8244","Ms.","Trident",107,"",8437628250,"James Island Elem                                 ",8437628240,2020,1001107,"SC",29412,
"","225 Coffee Road","School District of Oconee County","James M. Brown Elementary","https://sites.google.com/a/g.oconee.k12.sc.us/james-m-brown-elementary/","Walhalla","Oconee                                            ",3701,"Oconee 01                                         ","PK-5 SPED          ","arobertson@g.oconee.k12.sc.us","Ashley","field no longer used","Robertson","864-886-4470","Ms.","Pendleton",016,"",8648864471,"James M Brown Elem                                ",8648864470,2020,3701016,"SC",29691,
"","741 King Street","Charleston County School District","James Simons Elementary School","http://simons.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-8 SPED      ","christine_ryan@charleston.k12.sc.us","Christine","field no longer used","Ryan","843-724-7763","Ms.","Trident",079,"",8437203129,"James Simons Elem                                 ",8437247763,2020,1001079,"SC","29420-8703",
"","1960 Jane Edwards Road","Charleston County School District","Jane Edwards Elementary","http://janeedwards.ccsdschools.com/","Edisto Island","Charleston                                        ",1001,"Charleston 01                                     ","PK-6 SPED           ","jarmalar_logan@charleston.k12.sc.us","Jarmalar","field no longer used","Logan","843-599-4171","Ms.","Trident",039,"",8438690627,"Jane Edwards Elem                                 ",8435994171,2020,1001039,"SC",29438,
"","809 West Elizabeth Street","Chesterfield County School District","Jefferson Elementary","http://jes.chesterfieldschools.org/","Jefferson","Chesterfield                                      ",1301,"Chesterfield 01                                   ","PK-5 SPED      ","jmcguire@chesterfieldschools.org","Jason","field no longer used","McGuire","843-658-3295","Mr.","Pee Dee",015,"",8436583309,"Jefferson Elem                                    ",8436583295,2020,1301015,"SC",29718,
"","170 Flint Drive","Aiken County Public Schools","Jefferson Elementary","http://www.acpsd.net/JES","Warrenville","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED           ","bwilson@acpsd.net","Becky","field no longer used","Wilson","803-593-7180","Ms.","Lower Savannah",005,"",8035937112,"Jefferson Elem                                    ",8035937180,2020,0201005,"SC",29851,
"","1543 Chester Highway","York School District One","Jefferson Elementary","http://www.york.k12.sc.us/jes/","York","York                                              ",4601,"York 01                                           ","PK-4 SPED      ","mhughes@york.k12.sc.us","Mattie","field no longer used","Hughes","803-684-1942","Mrs.","Catawba",008,"",8036841944,"Jefferson Elem                                    ",8036841942,2020,4601008,"SC",29745,
